name,type,start_time,duration,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN","data_field",3.70023212,3.2e-05,,,0x00,,,
"CAN","crc_field",3.70026813,6e-05,,,,0x0000000000001B3B,,
"CAN","ack_field",3.70033613,4e-06,,,,,true,
"CAN","identifier_field",3.70038819,5.6e-05,0x0000000000000582,,,,,
"CAN","control_field",3.70044819,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.70046419,2.8e-05,,,0x43,,,
"CAN","data_field",3.70049619,2.8e-05,,,0x64,,,
"CAN","data_field",3.70052819,2.8e-05,,,0x60,,,
"CAN","data_field",3.70056419,3.2e-05,,,0x00,,,
"CAN","data_field",3.70060019,2.8e-05,,,0x4B,,,
"CAN","data_field",3.70063219,2.8e-05,,,0x6D,,,
"CAN","data_field",3.70066419,3.2e-05,,,0x02,,,
"CAN","data_field",3.70070019,3.2e-05,,,0x00,,,
"CAN","crc_field",3.70073619,6e-05,,,,0x0000000000001CC3,,
"CAN","ack_field",3.70080419,4e-06,,,,,true,
"CAN","identifier_field",3.70699012,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.70705012,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.70706612,3.2e-05,,,0x40,,,
"CAN","data_field",3.70710213,2.8e-05,,,0x64,,,
"CAN","data_field",3.70713413,2.8e-05,,,0x60,,,
"CAN","data_field",3.70717013,3.2e-05,,,0x00,,,
"CAN","data_field",3.70720612,3.6e-05,,,0x00,,,
"CAN","data_field",3.70724613,3.2e-05,,,0x00,,,
"CAN","data_field",3.70728212,3.6e-05,,,0x00,,,
"CAN","data_field",3.70732213,3.2e-05,,,0x00,,,
"CAN","crc_field",3.70736212,5.6e-05,,,,0x00000000000007B3,,
"CAN","ack_field",3.70742613,4e-06,,,,,true,
"CAN","identifier_field",3.70747825,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.70753825,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.70755425,3.2e-05,,,0x40,,,
"CAN","data_field",3.70759025,2.8e-05,,,0x64,,,
"CAN","data_field",3.70762225,2.8e-05,,,0x60,,,
"CAN","data_field",3.70765825,3.2e-05,,,0x00,,,
"CAN","data_field",3.70769425,3.6e-05,,,0x00,,,
"CAN","data_field",3.70773425,3.2e-05,,,0x00,,,
"CAN","data_field",3.70777025,3.6e-05,,,0x00,,,
"CAN","data_field",3.70781025,3.2e-05,,,0x00,,,
"CAN","crc_field",3.70785025,5.6e-05,,,,0x0000000000001A9E,,
"CAN","ack_field",3.70791425,4e-06,,,,,true,
"CAN","identifier_field",3.70796644,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.70802644,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.70804244,2.8e-05,,,0x43,,,
"CAN","data_field",3.70807444,2.8e-05,,,0x64,,,
"CAN","data_field",3.70810644,2.8e-05,,,0x60,,,
"CAN","data_field",3.70814244,3.2e-05,,,0x00,,,
"CAN","data_field",3.70817844,2.8e-05,,,0xE4,,,
"CAN","data_field",3.70821044,2.8e-05,,,0xE9,,,
